transcript,Gene Ontology IDs
TRINITY_GG_22518_c28_g1_i1.p1,GO:0000026; GO:0000030; GO:0005789; GO:0006487; GO:0016021; GO:0052918; GO:0052926
TRINITY_GG_13651_c15_g1_i1.p1,GO:0000027; GO:0000049; GO:0002181; GO:0003723; GO:0003729; GO:0003735; GO:0005634; GO:0005791; GO:0014069; GO:0022625; GO:0022626; GO:0031672; GO:0036464; GO:0042788; GO:0045202; GO:1990932
TRINITY_GG_20173_c1_g1_i2.p1,GO:0000027; GO:0000055; GO:0000447; GO:0000794; GO:0002244; GO:0005654; GO:0005730; GO:0005783; GO:0007080; GO:0008097; GO:0030687; GO:0042273; GO:1901796; GO:1902570
TRINITY_GG_24955_c1_g1_i1.p1,GO:0000027; GO:0000122; GO:0001650; GO:0001932; GO:0002039; GO:0005654; GO:0005730; GO:0005829; GO:0006281; GO:0006364; GO:0006974; GO:0007095; GO:0008097; GO:0014067; GO:0031333; GO:0032435; GO:0032436; GO:0033553; GO:0039535; GO:0042802; GO:0042981; GO:0043231; GO:0050821; GO:0051726; GO:0051898; GO:0071456; GO:1901796; GO:1901797; GO:1901837; GO:1902570; GO:1903006; GO:1903715; GO:1990173
TRINITY_GG_14998_c30_g1_i1.p2,GO:0000027; GO:0000287; GO:0002181; GO:0003735; GO:0003906; GO:0004519; GO:0005509; GO:0005654; GO:0005829; GO:0005840; GO:0006284; GO:0016363; GO:0022625; GO:0022626; GO:0052720; GO:0070180; GO:0090305
TRINITY_GG_14983_c20_g1_i2.p1,GO:0000027; GO:0000463; GO:0005730; GO:0007049; GO:0019843; GO:0051301
TRINITY_GG_6088_c14_g1_i1.p1,GO:0000027; GO:0000470; GO:0001510; GO:0001825; GO:0003723; GO:0005730; GO:0008284; GO:0009383; GO:0070475; GO:1901796
TRINITY_GG_19954_c18_g1_i1.p1,GO:0000027; GO:0000956; GO:0003723; GO:0005730; GO:0005737; GO:0006364; GO:0030687; GO:0042273
TRINITY_GG_23865_c0_g1_i1.p1,GO:0000027; GO:0001560; GO:0005634; GO:0005730; GO:0006364; GO:0019843; GO:0030687
TRINITY_GG_9548_c1_g1_i1.p1,GO:0000027; GO:0003676; GO:0004527; GO:0005634; GO:0005730; GO:0006364; GO:0008408
TRINITY_GG_14653_c9_g1_i1.p1,GO:0000027; GO:0003723; GO:0005730; GO:0006364; GO:0019843
TRINITY_GG_21014_c8_g1_i1.p1,GO:0000027; GO:0003735; GO:0005634; GO:0006412; GO:0019843; GO:0022625; GO:1904841
TRINITY_GG_13477_c9_g1_i2.p1,GO:0000027; GO:0005524; GO:0005634; GO:0005654; GO:0005730; GO:0005829; GO:0006364; GO:0016020; GO:0016887; GO:0030687; GO:0045111; GO:2000200
TRINITY_GG_9438_c17_g1_i1.p1,GO:0000028; GO:0000462; GO:0002181; GO:0003735; GO:0006412; GO:0022626; GO:0022627; GO:0048027; GO:0070181
TRINITY_GG_10482_c22_g2_i1.p1,GO:0000028; GO:0000462; GO:0003723; GO:0005654; GO:0032040; GO:0034388
TRINITY_GG_6396_c9_g1_i1.p1,GO:0000028; GO:0002181; GO:0002227; GO:0003723; GO:0003735; GO:0005615; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0006412; GO:0015935; GO:0019731; GO:0022626; GO:0022627; GO:0050830; GO:0061844
TRINITY_GG_12181_c35_g1_i1.p1,GO:0000028; GO:0003723; GO:0003735; GO:0006364; GO:0006412; GO:0022627; GO:0046872
TRINITY_GG_6460_c16_g1_i2.p2,GO:0000028; GO:0003723; GO:0003735; GO:0006412; GO:0022627
TRINITY_GG_19499_c9_g1_i1.p1,GO:0000028; GO:0003729; GO:0003735; GO:0005763; GO:0005840; GO:0006412; GO:0019843; GO:0032543
TRINITY_GG_9181_c62_g1_i1.p1,GO:0000028; GO:0003729; GO:0003735; GO:0005840; GO:0006412; GO:0006450; GO:0019843; GO:0022627
TRINITY_GG_13182_c27_g1_i1.p1,GO:0000028; GO:0003735; GO:0006412; GO:0022627
TRINITY_GG_10315_c7_g1_i9.p3,GO:0000028; GO:0005525; GO:0005743; GO:0005759; GO:0005829; GO:0019843; GO:0043024
TRINITY_GG_12233_c1_g1_i1.p1,GO:0000030; GO:0004169; GO:0005739; GO:0005783; GO:0006396; GO:0016021; GO:0035269
TRINITY_GG_8290_c0_g1_i1.p1,GO:0000030; GO:0004169; GO:0005783; GO:0005789; GO:0016021; GO:0035269; GO:0055074
TRINITY_GG_10154_c17_g1_i2.p1,GO:0000030; GO:0004169; GO:0005783; GO:0007605; GO:0016021; GO:0030968; GO:0032470; GO:0035269; GO:0051117; GO:1905584
TRINITY_GG_7614_c1_g1_i3.p1,GO:0000030; GO:0004169; GO:0005783; GO:0016021; GO:0035269
TRINITY_GG_17267_c6_g1_i2.p1,GO:0000030; GO:0004169; GO:0005789; GO:0016021; GO:0035269
TRINITY_GG_6038_c11_g1_i3.p1,GO:0000030; GO:0004376; GO:0005789; GO:0006506; GO:0016021; GO:0051751; GO:1990529
TRINITY_GG_25277_c4_g1_i1.p1,GO:0000030; GO:0005637; GO:0016021; GO:0018406
TRINITY_GG_16850_c53_g1_i1.p1,GO:0000030; GO:0005789; GO:0010804; GO:0016021
TRINITY_GG_1439_c53_g1_i1.p1,GO:0000032; GO:0004475; GO:0005525; GO:0005737; GO:0006486; GO:0009298; GO:0016779; GO:0035167
TRINITY_GG_6805_c12_g1_i1.p1,GO:0000033; GO:0004378; GO:0005634; GO:0005737; GO:0006486; GO:0006488; GO:0006490; GO:0016020; GO:0016021; GO:0046982; GO:0047485; GO:0048306; GO:0048471; GO:0051592; GO:0102704
TRINITY_GG_10482_c20_g1_i2.p1,GO:0000033; GO:0004583; GO:0005789; GO:0006487; GO:0006488; GO:0006490; GO:0016021; GO:0018279; GO:0042283
TRINITY_GG_19809_c11_g1_i1.p1,GO:0000035; GO:0000036; GO:0005739; GO:0005747; GO:0009249; GO:0032981
TRINITY_GG_11161_c2_g1_i1.p1,GO:0000038; GO:0001676; GO:0004467; GO:0005524; GO:0005634; GO:0005739; GO:0005741; GO:0005778; GO:0005783; GO:0005789; GO:0007405; GO:0008610; GO:0008654; GO:0010747; GO:0010976; GO:0015908; GO:0016020; GO:0016021; GO:0019432; GO:0019899; GO:0035338; GO:0042803; GO:0047676
TRINITY_GG_12376_c16_g1_i1.p1,GO:0000038; GO:0003857; GO:0004300; GO:0004303; GO:0005777; GO:0006635; GO:0007568; GO:0008203; GO:0008209; GO:0008210; GO:0009410; GO:0014070; GO:0016508; GO:0016853; GO:0018812; GO:0030283; GO:0033989; GO:0036111; GO:0036112; GO:0042802; GO:0042803; GO:0044594; GO:0048545; GO:0060009; GO:0071407; GO:0106386
TRINITY_GG_9423_c15_g1_i4.p1,GO:0000038; GO:0005324; GO:0005524; GO:0005739; GO:0005777; GO:0005778; GO:0005782; GO:0005829; GO:0006633; GO:0006635; GO:0006699; GO:0007031; GO:0009410; GO:0014070; GO:0015721; GO:0015910; GO:0016020; GO:0016021; GO:0016887; GO:0042626; GO:0042760; GO:0042803; GO:0043231; GO:0043621; GO:0047617; GO:0140359; GO:1903512
TRINITY_GG_15033_c20_g1_i2.p1,GO:0000038; GO:0005324; GO:0005524; GO:0005777; GO:0005778; GO:0005829; GO:0006635; GO:0007031; GO:0009617; GO:0015910; GO:0016021; GO:0016887; GO:0032000; GO:0042626; GO:0042760; GO:0042803; GO:0043217; GO:0046982; GO:0047617; GO:0140359; GO:1900016; GO:1903427; GO:1990535; GO:2001280
TRINITY_GG_14448_c6_g1_i1.p1,GO:0000041; GO:0005375; GO:0005381; GO:0005384; GO:0005768; GO:0005886; GO:0005887; GO:0010042; GO:0015086; GO:0015293; GO:0015677; GO:0016020; GO:0016324; GO:0030001; GO:0034755; GO:0034761; GO:0046718; GO:0050916; GO:0055070; GO:0055071; GO:0055072; GO:0055076
TRINITY_GG_20473_c7_g1_i1.p1,GO:0000045; GO:0000132; GO:0005634; GO:0005694; GO:0005795; GO:0005815; GO:0005829; GO:0007030; GO:0008289; GO:0031468; GO:0043130; GO:0043161; GO:0046604; GO:0061025; GO:1904780
TRINITY_GG_15761_c7_g1_i1.p1,GO:0000045; GO:0000139; GO:0000226; GO:0000421; GO:0000422; GO:0005764; GO:0005776; GO:0005790; GO:0005829; GO:0005874; GO:0005875; GO:0005886; GO:0005930; GO:0006995; GO:0008017; GO:0008625; GO:0015031; GO:0015629; GO:0016236; GO:0031410; GO:0031625; GO:0032436; GO:0035020; GO:0048487; GO:0050811; GO:0097225; GO:1902524
TRINITY_GG_19572_c14_g1_i1.p1,GO:0000045; GO:0000139; GO:0000407; GO:0000421; GO:0000422; GO:0005739; GO:0005776; GO:0005789; GO:0005794; GO:0005802; GO:0010940; GO:0016021; GO:0017128; GO:0031902; GO:0031966; GO:0034045; GO:0034497; GO:0044805; GO:0055038; GO:0060349
