transcript,Gene Ontology IDs
TRINITY_GG_18314_c13_g1_i2.p1,GO:0000159; GO:0003755; GO:0004721; GO:0005102; GO:0005524; GO:0005634; GO:0005654; GO:0005737; GO:0007052; GO:0008160; GO:0032515; GO:0032516; GO:0034704; GO:0042803; GO:0043065; GO:0051721; GO:1904949
TRINITY_GG_14851_c3_g1_i10.p1,GO:0000165; GO:0000228; GO:0000781; GO:0001147; GO:0003677; GO:0003678; GO:0003723; GO:0005524; GO:0005634; GO:0005654; GO:0005730; GO:0005737; GO:0006302; GO:0006310; GO:0006353; GO:0006369; GO:0006376; GO:0006396; GO:0006974; GO:0007283; GO:0007399; GO:0007623; GO:0008543; GO:0010976; GO:0016604; GO:0016787; GO:0030154; GO:0030424; GO:0030426; GO:0033120; GO:0034599; GO:0042802; GO:0043066; GO:0043491; GO:0044344; GO:0045171; GO:0045944; GO:0060566; GO:0070301; GO:0071300; GO:2000144; GO:2000806
TRINITY_GG_6657_c7_g1_i1.p1,GO:0000165; GO:0001894; GO:0004672; GO:0004674; GO:0005524; GO:0005737; GO:0005819; GO:0005874; GO:0005886; GO:0005938; GO:0006468; GO:0006915; GO:0016020; GO:0016319; GO:0030424; GO:0030514; GO:0030707; GO:0035094; GO:0035332; GO:0035556; GO:0036335; GO:0042220; GO:0043204; GO:0043408; GO:0045178; GO:0045471; GO:0045807; GO:0045886; GO:0046621; GO:0048036; GO:0048812; GO:0106310
TRINITY_GG_13286_c27_g1_i1.p1,GO:0000165; GO:0001934; GO:0004672; GO:0004674; GO:0004708; GO:0004713; GO:0005524; GO:0005634; GO:0005829; GO:0006915; GO:0007165; GO:0007254; GO:0008545; GO:0009611; GO:0030424; GO:0032839; GO:0034393; GO:0038095; GO:0043204; GO:0043525; GO:0045740; GO:0046330; GO:0051770; GO:0061049; GO:0071260; GO:0072709; GO:0090398; GO:0106310; GO:2000672
TRINITY_GG_18314_c6_g1_i2.p1,GO:0000166; GO:0003723; GO:0005654; GO:0005730; GO:0005737; GO:0009117; GO:0046872; GO:0097383; GO:1990003
TRINITY_GG_7706_c10_g1_i4.p1,GO:0000166; GO:0005634; GO:0006260
TRINITY_GG_23238_c45_g1_i1.p1,GO:0000175; GO:0000176; GO:0000177; GO:0000178; GO:0000467; GO:0003723; GO:0005634; GO:0005654; GO:0005730; GO:0005829; GO:0006364; GO:0006396; GO:0006401; GO:0016075; GO:0034427; GO:0034473; GO:0034475; GO:0034476; GO:0043928; GO:0071028; GO:0071035; GO:0071038; GO:0071042; GO:0101019
TRINITY_GG_9617_c9_g1_i1.p1,GO:0000175; GO:0000288; GO:0000958; GO:0004527; GO:0004535; GO:0005739; GO:0005759; GO:0006397; GO:0035457; GO:0044528; GO:0045070; GO:0046872; GO:0060548; GO:0071346; GO:0071359; GO:0090305; GO:0090324; GO:0090503
TRINITY_GG_15062_c1_g1_i5.p1,GO:0000175; GO:0000957; GO:0000958; GO:0000962; GO:0000964; GO:0000965; GO:0004654; GO:0005739; GO:0005758; GO:0005759; GO:0006401; GO:0006402; GO:0008266; GO:0016020; GO:0034046; GO:0034599; GO:0035198; GO:0035927; GO:0035928; GO:0043457; GO:0043631; GO:0045025; GO:0045926; GO:0051260; GO:0051726; GO:0061014; GO:0070207; GO:0070584; GO:0071042; GO:0097222; GO:2000627; GO:2000772
TRINITY_GG_13310_c2_g1_i2.p1,GO:0000179; GO:0003677; GO:0003723; GO:0005759; GO:0006391; GO:0031167; GO:0034246; GO:0042645
